_key,categories/0,categories/1,categories/2,categories/3,query,title,categories/4,categories/5
15018,salesforce,api,java,json,xamarin test cloud.txt,"REMOTE Sr. Salesforce API Engineer- Java, JSON REQUIRED, Sorry, NO Visas at Surge () (allows remote)",,
38375,python,linux,aws,computer-vision,zen rails base appl....txt,"Software Developer  Imaging at DuPont Pioneer (Johnston, IA)",image-processing,
64810,javascript,reactjs,c#,artificial-intelligence,working copy.txt,"Do you have what it takes to save the Pony? Take our Full Stack code challenge! at Trustpilot (København, Denmark)",,
70731,java,spring,agile,lucene,zen rails base appl....txt,"Java Developer at Spartez Sp. z o.o. sp. k. (Gdask, Poland)",javascript,
87601,java,hadoop,bigdata,software-engineering,user acceptance testing.txt,"Senior Platform Engineer at Evariant (Austin, TX)",mysql,
91123,network-protocols,python,android,c++,ms project.txt,"Research Engineer at Kyrus Tech (Sterling, VA)",reverse-engineering,
91255,python,cython,postgresql,memcached,websphere application server.txt,"Python Developer (Buenos Aires, Argentina) at Jampp (Palermo, Argentina)",bigdata,
93719,sql,python,java,perl,shell script.txt,"Market Data Engineer - Quant Fund at TGS Management Company (Irvine, CA)",c++,
97538,system-analysis,analytics,database,data-warehouse,î» gordon.txt,"Data System Analyst at Bank Millennium (Warsaw, Poland)",sql,
99712,etl,sql,apache-spark,java,microsoft office.txt,"Senior Software Engineer, Data Platform at Vevo (San Francisco, CA)",,
103175,python,linux,postgresql,c,working copy.txt,"Software Engineer (Python, Linux) at Edgestream Partners, L.P. (Princeton, NJ)",pandas,
103508,c++,deep-learning,javascript,opengl,sendgrid email anal....txt,"Software Engineer for Neuroscience at The Seung Lab (Princeton, NJ)",machine-learning,
106901,bigdata,apache-spark,prestodb,hadoop,web-services.txt,"Data Developer (Buenos Aires, Argentina) at Jampp (Palermo, Argentina)",apache-kafka,
107242,elasticsearch,puppet,linux,mysql,windows.txt,"Junior Administrator/DevOps, Ippen Digital Group, Mediengruppe Münchner Merkur at Ippen Digital GmbH & Co. KG (München, Deutschland)",sysadmin,
109209,java-8,reactjs,ecmascript-6,hadoop,react native materi....txt,"Software Engineer (All Levels) at HubSpot (Cambridge, MA)",dropwizard,
109211,java-8,hbase,elasticsearch,api,user acceptance testing.txt,"Sr. Software Engineer, HubSpot CRM Backend at HubSpot (Cambridge, MA)",dropwizard,
109401,python,knockout.js,pandas,aws,rackspace cloud ser....txt,"Full Stack Software Engineer at BriteCore (Springfield, MO) (allows remote)",webdev,
110179,sql,automation,rdbms,ordbms,visual studio team ....txt,"WEYV Software Engineer at Altair (Troy, MI)",oodbms,
110338,php,go,python,c++,pusher mobile push ....txt,"Software Engineer  Data Mining at trivago (Düsseldorf, Germany)",nosql,
111248,etl,python,hadoop,mapreduce,websphere application server.txt,"Senior Data Science Engineer at Rakuten (Setagaya, Japan)",hive,
112636,javascript,reactjs,keystone.js,jade,react native materi....txt,"Web Engineer for Machine Learning company at Matroid (Palo Alto, CA)",css,
113203,javascript,reactjs,node.js,git,yoga.txt,"Product Engineer - Fullstack JavaScript Engineer at the cutting edge of big data at Qubit (London, UK)",,
117404,python,java,javascript,elasticsearch,visual studio team ....txt,"Software Engineer at Beekeeper AG (Zürich, Switzerland)",kubernetes,
117842,php,javascript,mysql,docker,pusher mobile push ....txt,"Software Engineer  Data Plumber to Master Our Hotel Data at trivago (Düsseldorf, Germany)",scala,
118549,hadoop,hive,impala,scala,shell script.txt,"Sr. Hadoop Developer at NextShift, LLC. (Plymouth Meeting, PA)",,
118637,c#,postgresql,elasticsearch,redis,wechat api.txt,"Back-End C# Developer at Dynamic Signal (Bellevue, WA)",rabbitmq,
120609,java,javascript,npm,groovy,lawson supply chain.txt,Full-Stack Java Software Engineer-100% Remote at Sonatype () (allows remote),elasticsearch,
120745,java,scala,jvm,hadoop,test-driven development.txt,"Senior Java Designer/Developer - Scala, Hadoop - Big Data focus at TD Bank Group (Toronto, ON, Canada)",sql,
120749,java,scala,hadoop,sql,visual studio team ....txt,"Data Integration Developer - Java, Scala at TD Bank Group (Toronto, ON, Canada)",jenkins,
120922,java,akka,scala,apache-flink,zen rails base application.txt,"Senior Software Engineer (Java) at data Artisans (Berlin, Germany)",,
121332,java,concurrency,sql,cassandra,shell script.txt,"Software Engineer / Data Scientist  Java Backend Services at trivago (Düsseldorf, Germany)",python,
121459,python,time-series,machine-learning,c,pusher mobile push ....txt,"Data Scientist / Machine Learning Engineer, Consumer Hardware Startup at Sense (Cambridge, MA)",c++,
121690,mapreduce,cassandra,amazon-web-services,java,zen rails base appl....txt,"Senior Software Engineer, Segment Modeling at Quantcast (Seattle, WA)",,
122518,scala,akka,playframework,microservices,aws elastic load ba....txt,Scala Developer at LeadIQ (Singapore),apache-spark,
124177,javascript,java,angularjs,scala,test-driven development.txt,"(SENIOR) DEVELOPER (M/W) deutschlandweit at codecentric AG (Hamburg, Deutschland)",bigdata,
124453,tableau,sql,,,visual studio team ....txt,"Business Intelligence Developer at MRI Software LLC (Vaughan, ON, Canada)",,
