categories/0,categories/1,categories/2,categories/3,categories/4,skill,title
salesforce,api,java,json,,"salesforce,api,java,json,","REMOTE Sr. Salesforce API Engineer- Java, JSON REQUIRED, Sorry, NO Visas at Surge () (allows remote)"
python,linux,aws,computer-vision,image-processing,"python,linux,aws,computer-vision,image-processing","Software Developer  Imaging at DuPont Pioneer (Johnston, IA)"
javascript,reactjs,c#,artificial-intelligence,,"javascript,reactjs,c#,artificial-intelligence,","Do you have what it takes to save the Pony? Take our Full Stack code challenge! at Trustpilot (København, Denmark)"
java,spring,agile,lucene,javascript,"java,spring,agile,lucene,javascript","Java Developer at Spartez Sp. z o.o. sp. k. (Gdask, Poland)"
java,hadoop,bigdata,software-engineering,mysql,"java,hadoop,bigdata,software-engineering,mysql","Senior Platform Engineer at Evariant (Austin, TX)"
network-protocols,python,android,c++,reverse-engineering,"network-protocols,python,android,c++,reverse-engineering","Research Engineer at Kyrus Tech (Sterling, VA)"
python,cython,postgresql,memcached,bigdata,"python,cython,postgresql,memcached,bigdata","Python Developer (Buenos Aires, Argentina) at Jampp (Palermo, Argentina)"
sql,python,java,perl,c++,"sql,python,java,perl,c++","Market Data Engineer - Quant Fund at TGS Management Company (Irvine, CA)"
system-analysis,analytics,database,data-warehouse,sql,"system-analysis,analytics,database,data-warehouse,sql","Data System Analyst at Bank Millennium (Warsaw, Poland)"
etl,sql,apache-spark,java,,"etl,sql,apache-spark,java,","Senior Software Engineer, Data Platform at Vevo (San Francisco, CA)"
python,linux,postgresql,c,pandas,"python,linux,postgresql,c,pandas","Software Engineer (Python, Linux) at Edgestream Partners, L.P. (Princeton, NJ)"
c++,deep-learning,javascript,opengl,machine-learning,"c++,deep-learning,javascript,opengl,machine-learning","Software Engineer for Neuroscience at The Seung Lab (Princeton, NJ)"
bigdata,apache-spark,prestodb,hadoop,apache-kafka,"bigdata,apache-spark,prestodb,hadoop,apache-kafka","Data Developer (Buenos Aires, Argentina) at Jampp (Palermo, Argentina)"
elasticsearch,puppet,linux,mysql,sysadmin,"elasticsearch,puppet,linux,mysql,sysadmin","Junior Administrator/DevOps, Ippen Digital Group, Mediengruppe Münchner Merkur at Ippen Digital GmbH & Co. KG (München, Deutschland)"
java-8,reactjs,ecmascript-6,hadoop,dropwizard,"java-8,reactjs,ecmascript-6,hadoop,dropwizard","Software Engineer (All Levels) at HubSpot (Cambridge, MA)"
java-8,hbase,elasticsearch,api,dropwizard,"java-8,hbase,elasticsearch,api,dropwizard","Sr. Software Engineer, HubSpot CRM Backend at HubSpot (Cambridge, MA)"
python,knockout.js,pandas,aws,webdev,"python,knockout.js,pandas,aws,webdev","Full Stack Software Engineer at BriteCore (Springfield, MO) (allows remote)"
sql,automation,rdbms,ordbms,oodbms,"sql,automation,rdbms,ordbms,oodbms","WEYV Software Engineer at Altair (Troy, MI)"
php,go,python,c++,nosql,"php,go,python,c++,nosql","Software Engineer  Data Mining at trivago (Düsseldorf, Germany)"
etl,python,hadoop,mapreduce,hive,"etl,python,hadoop,mapreduce,hive","Senior Data Science Engineer at Rakuten (Setagaya, Japan)"
javascript,reactjs,keystone.js,jade,css,"javascript,reactjs,keystone.js,jade,css","Web Engineer for Machine Learning company at Matroid (Palo Alto, CA)"
javascript,reactjs,node.js,git,,"javascript,reactjs,node.js,git,","Product Engineer - Fullstack JavaScript Engineer at the cutting edge of big data at Qubit (London, UK)"
python,java,javascript,elasticsearch,kubernetes,"python,java,javascript,elasticsearch,kubernetes","Software Engineer at Beekeeper AG (Zürich, Switzerland)"
php,javascript,mysql,docker,scala,"php,javascript,mysql,docker,scala","Software Engineer  Data Plumber to Master Our Hotel Data at trivago (Düsseldorf, Germany)"
hadoop,hive,impala,scala,,"hadoop,hive,impala,scala,","Sr. Hadoop Developer at NextShift, LLC. (Plymouth Meeting, PA)"
c#,postgresql,elasticsearch,redis,rabbitmq,"c#,postgresql,elasticsearch,redis,rabbitmq","Back-End C# Developer at Dynamic Signal (Bellevue, WA)"
java,javascript,npm,groovy,elasticsearch,"java,javascript,npm,groovy,elasticsearch",Full-Stack Java Software Engineer-100% Remote at Sonatype () (allows remote)
java,scala,jvm,hadoop,sql,"java,scala,jvm,hadoop,sql","Senior Java Designer/Developer - Scala, Hadoop - Big Data focus at TD Bank Group (Toronto, ON, Canada)"
java,scala,hadoop,sql,jenkins,"java,scala,hadoop,sql,jenkins","Data Integration Developer - Java, Scala at TD Bank Group (Toronto, ON, Canada)"
java,akka,scala,apache-flink,,"java,akka,scala,apache-flink,","Senior Software Engineer (Java) at data Artisans (Berlin, Germany)"
java,concurrency,sql,cassandra,python,"java,concurrency,sql,cassandra,python","Software Engineer / Data Scientist  Java Backend Services at trivago (Düsseldorf, Germany)"
python,time-series,machine-learning,c,c++,"python,time-series,machine-learning,c,c++","Data Scientist / Machine Learning Engineer, Consumer Hardware Startup at Sense (Cambridge, MA)"
mapreduce,cassandra,amazon-web-services,java,,"mapreduce,cassandra,amazon-web-services,java,","Senior Software Engineer, Segment Modeling at Quantcast (Seattle, WA)"
scala,akka,playframework,microservices,apache-spark,"scala,akka,playframework,microservices,apache-spark",Scala Developer at LeadIQ (Singapore)
javascript,java,angularjs,scala,bigdata,"javascript,java,angularjs,scala,bigdata","(SENIOR) DEVELOPER (M/W) deutschlandweit at codecentric AG (Hamburg, Deutschland)"
tableau,sql,,,,"tableau,sql,,,","Business Intelligence Developer at MRI Software LLC (Vaughan, ON, Canada)"
python,java,sql,scala,amazon-web-services,"python,java,sql,scala,amazon-web-services","Scala /Python Data Engineer M/F Green and smart mobility to experience the world at FlixBus (München, Germany)"
python,c,pandas,postgresql,linux,"python,c,pandas,postgresql,linux","Software Engineer (Python, Linux) at Edgestream Partners, L.P. (Princeton, NJ)"
web,solid-principles,spring,,,"web,solid-principles,spring,,","Software Engineer - Core Hotel Data at trivago (Düsseldorf, Germany)"
scala,java,elasticsearch,bigdata,playframework,"scala,java,elasticsearch,bigdata,playframework","Scala/ Java Backend Engineer at dataWerks GmbH (Frankfurt am Main, Deutschland)"
java,elasticsearch,lucene,geospatial,,"java,elasticsearch,lucene,geospatial,",Java Engineer - Geospatial- Leading Open Source Company- Great Work/Life Balance at Elastic () (allows remote)
angular2,d3.js,apache-spark,amazon-s3,elasticsearch,"angular2,d3.js,apache-spark,amazon-s3,elasticsearch","Senior Full-Stack Software Engineer at Asymmetrik (Annapolis Junction, MD)"
javascript,elasticsearch,amazon-s3,apache-spark,hadoop,"javascript,elasticsearch,amazon-s3,apache-spark,hadoop","Senior Software Engineer at Asymmetrik (Annapolis Junction, MD)"
javascript,node.js,reactjs,d3.js,redux,"javascript,node.js,reactjs,d3.js,redux","Front-end Engineer (Junior and midlevel opportunities available) at The Dedham Group (New York, NY)"
java,machine-learning,,,,"java,machine-learning,,,","Senior Java Developer at LoyaltyOne (Toronto, ON, Canada)"
bpm,java,elasticsearch,rule-engine,,"bpm,java,elasticsearch,rule-engine,",Lead BPM Developer: Web/Mobile Low Code Configurable Platform (REMOTE) at Primotus Division of CargoTel () (allows remote)
hadoop,etl,machine-learning,sql,java,"hadoop,etl,machine-learning,sql,java","Director, Data Engineering at iHeartRadio (New York, NY)"
hadoop,data-pipeline,apache-storm,apache-spark,,"hadoop,data-pipeline,apache-storm,apache-spark,","Senior Data Engineer at iHeartRadio (New York, NY)"
c#,sql-server,angularjs,asp.net-mvc,elasticsearch,"c#,sql-server,angularjs,asp.net-mvc,elasticsearch","Full Stack Web Developer at Verify Brand (Plymouth, MN)"
asp.net-mvc,node.js,web-api,reactjs,elasticsearch,"asp.net-mvc,node.js,web-api,reactjs,elasticsearch","Senior .Net Developer at Domain Group (Pyrmont, Australia)"
react,javascript,asp.net-mvc,elasticsearch,browserify,"react,javascript,asp.net-mvc,elasticsearch,browserify","Front End Developer at Domain.com.au (Pyrmont, Australia)"
elasticsearch,security,java,ldap,saml,"elasticsearch,security,java,ldap,saml",Security Engineer - Java  @Elastic- Leading Open Source Company at Elastic () (allows remote)
spark,elasticsearch,python,hadoop,amazon-web-services,"spark,elasticsearch,python,hadoop,amazon-web-services","Senior Data Engineer at Restless Bandit (San Francisco, CA) (allows remote)"
ruby-on-rails,postgresql,elasticsearch,reactjs,redis,"ruby-on-rails,postgresql,elasticsearch,reactjs,redis",Ruby on Rails Developer at Toptal () (allows remote)
ruby-on-rails,javascript,mongodb,nosql,bigdata,"ruby-on-rails,javascript,mongodb,nosql,bigdata","Software Engineer on a global team in Tokyo at WOVN.io (Minato, Japan)"
machine-learning,bigdata,saas,architecture,devops,"machine-learning,bigdata,saas,architecture,devops","DevOps Manager and Software Architect at CAMP Systems International (Merrimack, NH)"
ruby-on-rails,sql,html5,javascript,elasticsearch,"ruby-on-rails,sql,html5,javascript,elasticsearch","Web Application Developer at Green River (Guilford, VT) (allows remote)"
php,laravel,mysql,redis,elasticsearch,"php,laravel,mysql,redis,elasticsearch","Senior Software Engineer at a fast growing ecommerce startup at Oberlo (Berlin, Germany)"
